gene_id,mean_cpm_ground,mean_cpm_flight,n_ground,n_flight,log2fc_flight_vs_ground
AT1G64110,6.621838328035199,15.97572973995422,18,18,1.1552626816892149
AT3G15440,1.1971444689042372,3.872414652275514,18,18,1.1490071802660524
AT1G04047,1.896737183346037,5.416315962446902,18,18,1.147316390056736
AT5G14330,135.20809228167113,300.62073907694696,18,18,1.1469232118901886
AT3G07070,0.8423891838214264,3.079236913650747,18,18,1.1467214517224487
AT3G47510,52.35548449187142,117.13269946936072,18,18,1.1466998815168323
AT2G21900,0.8791096143221124,3.1546879441510565,18,18,1.144690895087483
AT2G03720,1.470617968734909,4.428356250176616,18,18,1.135643460318688
AT5G04960,1.590298863998485,4.689642158252147,18,18,1.1352193561239954
AT5G07010,15.54357071226099,35.29264735855221,18,18,1.1334066428255052
AT1G49720,18.513746372830852,41.754427871498095,18,18,1.1315830584723545
AT5G40590,11.56985626033957,26.503682809740255,18,18,1.1296566596822029
AT5G63270,1.2601133683315067,3.9358008617115994,18,18,1.1268890484297436
AT3G23175,73.73313150403227,161.8220012974479,18,18,1.1234757755293112
AT1G18100,6.13857102960895,14.52811358834994,18,18,1.12117536114908
AT5G52760,1.1493381483285117,3.674882393595856,18,18,1.1210375963520827
AT3G22121,12.684470885820094,28.74773419310707,18,18,1.120240132763916
AT5G24880,1.7156050668533787,4.875742411512892,18,18,1.113497468264166
AT4G25820,9.571783494814902,21.85189907648039,18,18,1.1120952788309242
AT3G60140,10.624415636318977,24.08864805834109,18,18,1.1098765376980573
AT5G52690,4.498708626222665,10.843710698173904,18,18,1.1069564098347848
AT3G26220,0.6660316499758216,2.5871748092527675,18,18,1.1064322438770724
AT3G22740,1.7009979904837589,4.789812645357092,18,18,1.1000240977826563
AT5G17860,0.10627809933179291,1.36983549912894,18,18,1.0990728187469403
AT4G23700,1.7083742410998282,4.798136098203839,18,18,1.0981620946234658
AT5G52710,12.562544682032957,28.018813745594663,18,18,1.0973606544137773
AT5G22560,1.190676025430756,3.6808199891279156,18,18,1.095385141313054
AT5G39050,5.125408255694648,12.087767406829663,18,18,1.0953411069285557
AT1G12560,5.211391623075188,12.229896418503943,18,18,1.0908133298085083
AT3G50480,2.9489852890164547,7.407180517791687,18,18,1.0901400573786766
AT5G52750,3.7248982169852454,9.037816280858543,18,18,1.0870902897657018
AT4G13890,1.664056326581016,4.6524235456052025,18,18,1.0852449874185228
AT1G03790,0.04950109698305428,1.2253111589061296,18,18,1.084303403515677
AT3G23190,49.81920544549399,106.68774268158948,18,18,1.0834083234141108
AT2G44370,16.480256029822424,36.03748577999635,18,18,1.0832598514252176
